Time,Distance
0.05,0.3514035
0.1,0.352261
0.15,0.351232
0.2,0.3472875
0.25,0.3411135
0.3,0.332367
0.35,0.322077
0.4,0.311444
0.45,0.2992675
0.5,0.287777
0.55,0.276458
0.6,0.266511
0.65,0.2577645
0.7,0.2515905
0.75,0.247303
0.8,0.245245
0.85,0.246274
0.9,0.2491895
0.95,0.2550205
1,0.2625665
1.05,0.271999
1.1,0.282632
1.15,0.294637
1.2,0.3061275
1.25,0.317618
1.3,0.328251
1.35,0.337169
1.4,0.344715
1.45,0.3493455
1.5,0.351918
1.55,0.3517465
1.6,0.349174
1.65,0.346087
1.7,0.336483
1.75,0.327222
1.8,0.316246
1.85,0.3050985
1.9,0.2930935
1.95,0.281946
2,0.27097
2.05,0.262052
2.1,0.2543345
2.15,0.249018
2.2,0.246274
2.25,0.245588
2.3,0.247989
2.35,0.252105
2.4,0.258965
2.45,0.2673685
2.5,0.27783
2.55,0.288806
2.6,0.3002965
2.65,0.31213
2.7,0.3229345
2.75,0.3332245
2.8,0.3411135
2.85,0.349517
2.9,0.352947
2.95,0.3520895
3,0.352604
3.05,0.3462585
3.1,0.3404275
3.15,0.331338
3.2,0.321734
3.25,0.310415
3.3,0.2989245
3.35,0.287091
3.4,0.2762865
3.45,0.2663395
3.5,0.257593
3.55,0.2515905
3.6,0.2474745
3.65,0.245931
3.7,0.246617
3.75,0.2502185
3.8,0.255535
3.85,0.263424
3.9,0.272685
3.95,0.2831465
4,0.29498
4.05,0.306299
4.1,0.3181325
4.15,0.328251
4.2,0.337512
4.25,0.34643
4.3,0.349174
4.35,0.3534615
4.4,0.3531185
4.45,0.348488
4.5,0.343
4.55,0.335797
4.6,0.326193
4.65,0.315903
4.7,0.3044125
4.75,0.292922
4.8,0.2814315
4.85,0.270627
4.9,0.2618805
4.95,0.254506
5,0.2495325
5.05,0.246617
5.1,0.2464455
5.15,0.248332
5.2,0.253134
5.25,0.259651
5.3,0.267883
5.35,0.278173
5.4,0.289149
5.45,0.301154
5.5,0.3123015
5.55,0.323449
5.6,0.333053
5.65,0.341285
5.7,0.349174
5.75,0.3524325
5.8,0.3534615
5.85,0.3517465
5.9,0.3455725
5.95,0.3390555
6,0.330995
6.05,0.3208765
6.1,0.3099005
6.15,0.29841
6.2,0.286405
6.25,0.2759435
6.3,0.266168
6.35,0.257936
6.4,0.251762
6.45,0.247989
6.5,0.246274
6.55,0.247646
6.6,0.250733
6.65,0.256221
6.7,0.2639385
6.75,0.273371
6.8,0.2841755
6.85,0.295323
6.9,0.3071565
6.95,0.318304
7,0.328594
7.05,0.3373405
7.1,0.346087
7.15,0.3486595
7.2,0.352947
7.25,0.352947
7.3,0.3496885
7.35,0.342314
7.4,0.334768
7.45,0.32585
7.5,0.315217
7.55,0.303555
7.6,0.292236
7.65,0.280917
7.7,0.2707985
7.75,0.261709
7.8,0.254849
7.85,0.249704
7.9,0.247303
7.95,0.24696
8,0.2488465
8.05,0.2536485
8.1,0.260337
8.15,0.2690835
8.2,0.278859
8.25,0.290178
8.3,0.301497
8.35,0.3129875
8.4,0.323449
8.45,0.333053
8.5,0.340942
8.55,0.3466015
8.6,0.352261
8.65,0.352947
8.7,0.349174
8.75,0.344715
8.8,0.338541
8.85,0.329966
8.9,0.3198475
8.95,0.309043
9,0.2975525
9.05,0.286405
9.1,0.275429
9.15,0.266168
9.2,0.257936
9.25,0.2522765
9.3,0.2481605
9.35,0.2467885
9.4,0.2478175
9.45,0.2512475
9.5,0.2570785
9.55,0.2646245
9.6,0.2742285
9.65,0.28469
9.7,0.2961805
9.75,0.3074995
9.8,0.318304
9.85,0.328594
9.9,0.3369975
9.95,0.3462585
10,0.348145
10.05,0.352604
10.1,0.351918
10.15,0.349174
10.2,0.341285
10.25,0.3342535
10.3,0.324821
10.35,0.3147025
10.4,0.3030405
10.45,0.2920645
10.5,0.2807455
10.55,0.2704555
10.6,0.2618805
10.65,0.2546775
10.7,0.2502185
10.75,0.2474745
10.8,0.247646
10.85,0.249704
10.9,0.254506
10.95,0.261023
11,0.269598
11.05,0.2797165
11.1,0.2906925
11.15,0.3023545
11.2,0.3133305
11.25,0.3239635
11.3,0.333396
11.35,0.3407705
11.4,0.3462585
11.45,0.3493455
11.5,0.3524325
11.55,0.3483165
11.6,0.34643
11.65,0.337512
11.7,0.3294515
11.75,0.3191615
11.8,0.308357
11.85,0.2972095
11.9,0.285719
11.95,0.2752575
12,0.2659965
12.05,0.2581075
12.1,0.2522765
12.15,0.2488465
12.2,0.2474745
12.25,0.248332
12.3,0.252105
12.35,0.257593
12.4,0.2656535
12.45,0.274743
12.5,0.2855475
12.55,0.296695
12.6,0.308357
12.65,0.31899
12.7,0.3287655
12.75,0.3373405
12.8,0.3459155
12.85,0.348145
12.9,0.3520895
12.95,0.3493455
13,0.346087
13.05,0.3411135
13.1,0.3332245
13.15,0.323792
13.2,0.3136735
13.25,0.3023545
13.3,0.2913785
13.35,0.280231
13.4,0.2704555
13.45,0.261709
13.5,0.255192
13.55,0.25039
13.6,0.2478175
13.65,0.2481605
13.7,0.2502185
13.75,0.255192
13.8,0.261709
13.85,0.270627
13.9,0.2804025
13.95,0.29155
14,0.302526
14.05,0.3136735
14.1,0.324135
14.15,0.3332245
14.2,0.340942
14.25,0.345744
14.3,0.3490025
14.35,0.349517
14.4,0.347802
14.45,0.343343
14.5,0.336826
14.55,0.3284225
14.6,0.3184755
14.65,0.3078425
14.7,0.296352
14.75,0.2855475
14.8,0.2749145
14.85,0.2659965
14.9,0.2581075
14.95,0.252448
15,0.249018
15.05,0.247646
15.1,0.2491895
15.15,0.2526195
15.2,0.258622
15.25,0.2663395
15.3,0.275772
15.35,0.2858905
15.4,0.297381
15.45,0.3078425
15.5,0.318304
15.55,0.3291085
15.6,0.3297945
